Uid,Sentiment
41996,negative
23240,negative
4146,negative
10336,positive
22171,positive
35220,positive
16832,positive
42192,positive
24021,positive
3589,positive
4921,neutral
35642,negative
21460,positive
20472,neutral
2495,positive
10784,neutral
37948,neutral
42418,neutral
5124,positive
1496,positive
31569,neutral
15586,negative
35724,neutral
37841,neutral
11323,positive
35046,positive
29949,positive
31339,negative
10770,negative
6332,neutral
33860,negative
18754,positive
17890,negative
5304,positive
43211,positive
29742,positive
24255,negative
28297,negative
4299,negative
19776,positive
37421,negative
29162,negative
37081,neutral
8769,positive
37540,neutral
37883,negative
10503,positive
40456,neutral
32915,neutral
10563,neutral
36292,negative
22528,positive
38249,neutral
40501,positive
26815,negative
11670,neutral
14929,neutral
23216,positive
13689,neutral
24192,negative
11037,neutral
18379,positive
23010,negative
26963,neutral
9101,negative
3689,negative
34931,negative
30097,negative
32707,positive
2933,negative
3488,neutral
9591,neutral
23347,negative
9911,neutral
2883,negative
42700,negative
16149,positive
26895,positive
10250,positive
17843,neutral
36494,negative
28078,neutral
5027,positive
24671,positive
33879,neutral
1774,negative
42232,positive
12061,negative
12141,positive
15397,negative
6427,positive
36633,neutral
22130,neutral
43221,neutral
8691,neutral
5606,positive
20182,negative
35162,neutral
32639,neutral
10688,neutral
13424,positive
10550,neutral
21220,neutral
15003,neutral
21352,neutral
26798,neutral
25864,positive
16526,negative
26571,neutral
4767,neutral
13257,negative
33532,neutral
33054,negative
37199,positive
20103,neutral
28007,neutral
11109,neutral
10697,neutral
19628,negative
31299,positive
21486,neutral
19548,negative
38766,neutral
22867,positive
37315,negative
34903,positive
5266,neutral
35450,neutral
38595,negative
29366,positive
36439,positive
22155,neutral
19374,positive
37376,negative
15391,neutral
14669,neutral
26870,positive
14351,neutral
30644,negative
11590,neutral
43173,positive
15524,positive
8788,positive
13754,positive
6589,positive
14876,negative
41547,negative
28840,positive
1281,positive
44599,negative
7790,positive
19379,positive
205,positive
42185,negative
18092,negative
4,positive
31851,positive
7147,negative
20888,neutral
11479,positive
6043,positive
35447,negative
22144,negative
17564,neutral
12571,neutral
16143,neutral
37161,positive
27688,negative
12100,neutral
17977,negative
19176,negative
14578,positive
10817,positive
23466,negative
15171,positive
16607,negative
35341,neutral
15402,positive
16710,negative
22177,neutral
23459,positive
10607,neutral
38904,negative
10801,neutral
12070,negative
9571,neutral
20040,neutral
35062,neutral
24783,negative
27348,positive
25374,positive
4870,negative
4952,neutral
6325,neutral
10973,negative
27480,neutral
15590,positive
18026,positive
30043,neutral
16128,negative
163,neutral
41083,neutral
34411,negative
889,positive
3622,neutral
25954,positive
13632,positive
3808,positive
18300,positive
10307,negative
19390,positive
8725,neutral
10897,neutral
1298,negative
11766,neutral
20849,neutral
23151,positive
13860,neutral
11039,neutral
33280,neutral
10001,positive
12164,positive
29242,neutral
1961,positive
20161,negative
10919,positive
3101,positive
41796,neutral
19210,negative
7836,neutral
23519,neutral
10992,neutral
11056,neutral
26677,positive
35603,positive
42319,neutral
4871,negative
2354,positive
39331,negative
9728,neutral
7418,negative
2798,neutral
17002,neutral
21641,negative
19442,positive
16987,negative
21114,negative
21201,neutral
15588,neutral
23421,negative
27386,negative
41853,neutral
32890,positive
25146,positive
23073,neutral
25501,neutral
15358,negative
27267,negative
20484,neutral
40829,negative
1769,positive
9823,positive
22311,neutral
27720,positive
2783,positive
11831,neutral
6871,negative
32874,neutral
11469,positive
15609,negative
33695,positive
13520,positive
31874,positive
40795,positive
19463,neutral
43637,neutral
4650,positive
16825,negative
21332,neutral
29206,neutral
18247,positive
32594,negative
1650,neutral
35814,positive
25609,positive
32671,neutral
18509,neutral
11041,negative
33806,positive
14897,negative
36213,negative
10843,neutral
15914,negative
8877,positive
16615,negative
38330,neutral
20906,neutral
3832,negative
16489,positive
21409,negative
11351,neutral
11120,neutral
30269,neutral
12720,negative
28089,negative
18943,positive
28892,neutral
34446,neutral
22991,positive
8923,neutral
10808,negative
42967,neutral
20840,negative
29038,neutral
4420,positive
12192,neutral
20819,neutral
2578,positive
18710,negative
5456,negative
11073,neutral
30882,negative
3316,neutral
34,positive
30035,negative
36680,negative
10271,negative
19985,neutral
24710,neutral
4421,neutral
30497,neutral
11760,positive
15784,positive
16625,positive
33913,neutral
34738,negative
36699,positive
8720,negative
25011,neutral
10635,positive
43298,negative
28074,neutral
43408,neutral
35239,positive
1663,negative
39025,positive
8968,negative
25342,negative
2729,neutral
26947,positive
40413,positive
24479,negative
40462,positive
35507,negative
3855,neutral
42563,positive
4053,positive
17380,negative
31068,negative
15995,neutral
35132,neutral
16923,negative
15948,negative
41096,negative
17154,negative
12768,positive
139,negative
10331,positive
22196,neutral
3154,neutral
3411,neutral
15729,positive
31957,neutral
20352,positive
6674,neutral
811,negative
32018,negative
24098,negative
23872,positive
28605,negative
17212,positive
22473,negative
34787,positive
10569,positive
34062,positive
21671,neutral
10591,neutral
44384,neutral
21084,negative
4302,positive
7912,positive
9321,neutral
34674,positive
31332,negative
12256,negative
14186,neutral
31675,positive
579,negative
36478,neutral
17543,negative
23457,negative
27147,neutral
5991,negative
228,positive
8136,negative
6919,negative
15276,positive
39556,positive
20160,neutral
42031,positive
24640,positive
10608,neutral
6738,negative
31878,neutral
38432,neutral
20285,positive
33057,positive
41021,positive
43335,neutral
36186,positive
39603,negative
33425,neutral
7165,positive
33549,negative
31711,neutral
20985,negative
11266,neutral
29651,neutral
16468,positive
11777,negative
31941,positive
6067,positive
13228,negative
19772,positive
18363,positive
11367,positive
27075,positive
29517,positive
14987,negative
4170,negative
17680,neutral
13673,neutral
21684,negative
33102,negative
2801,positive
26350,neutral
27954,negative
208,positive
9274,positive
43151,positive
31124,positive
12594,positive
23390,neutral
11200,neutral
11512,negative
43402,negative
20891,positive
29832,negative
30238,neutral
22803,negative
20910,negative
11083,neutral
28075,positive
29938,positive
21255,negative
11142,negative
11625,neutral
33538,negative
28975,negative
41189,positive
23565,negative
13519,neutral
11574,negative
27317,negative
44376,neutral
37693,positive
4101,negative
351,positive
19945,neutral
19906,neutral
7593,positive
28214,neutral
9611,positive
4793,negative
15196,positive
9385,positive
1568,negative
30318,neutral
41408,neutral
13941,neutral
35004,positive
13909,neutral
7007,neutral
32744,positive
11789,negative
14459,neutral
8947,negative
11234,positive
18091,negative
43915,positive
43118,neutral
19691,positive
29670,positive
22142,positive
4662,positive
36093,neutral
26796,positive
25425,negative
20676,positive
4544,negative
37925,positive
11803,neutral
2934,neutral
41673,neutral
17948,positive
29018,positive
21015,negative
5438,neutral
10977,neutral
31771,positive
42344,negative
9645,neutral
40443,negative
27612,positive
25432,neutral
16838,negative
11739,negative
162,positive
9176,positive
42961,positive
40299,neutral
17797,negative
21524,neutral
3643,neutral
4000,neutral
10630,neutral
10759,negative
11227,neutral
5157,positive
23749,neutral
26818,negative
3531,neutral
24504,positive
15551,negative
7863,neutral
27523,neutral
5581,neutral
442,neutral
32320,negative
8131,neutral
33022,positive
40872,positive
33199,negative
13157,positive
43668,positive
28885,neutral
36965,positive
39767,negative
24312,positive
21701,negative
24689,negative
32812,neutral
9511,positive
44928,neutral
10556,positive
34035,positive
31673,positive
11027,neutral
27641,positive
22818,neutral
16273,negative
33498,negative
24912,neutral
32909,neutral
14337,positive
33234,neutral
10401,positive
23282,negative
30305,negative
11759,neutral
21645,neutral
20975,positive
33167,neutral
7729,negative
21237,neutral
21082,neutral
22975,negative
27059,positive
657,positive
43494,positive
29741,neutral
31457,negative
1429,positive
36945,neutral
27958,positive
32250,negative
19905,negative
5045,negative
23184,positive
22139,positive
18737,neutral
10298,positive
25097,neutral
10894,neutral
35905,neutral
8051,neutral
36499,neutral
41188,negative
21011,positive
19523,negative
10491,neutral
14071,positive
18034,positive
6943,positive
16408,neutral
20737,neutral
40633,neutral
35002,positive
33930,positive
28104,neutral
20132,positive
24961,negative
3371,neutral
20571,neutral
24389,neutral
158,neutral
2373,negative
7109,neutral
32033,positive
7561,neutral
20848,neutral
21328,neutral
32767,neutral
25054,neutral
2470,negative
22455,positive
9213,negative
29153,neutral
43655,negative
43108,neutral
29205,positive
6040,neutral
36616,negative
26722,positive
10352,neutral
25277,neutral
30443,neutral
32905,negative
18305,negative
10445,neutral
21670,negative
21376,neutral
17723,negative
9003,negative
40636,neutral
13595,neutral
43121,positive
3718,negative
11463,negative
5075,positive
36387,positive
11405,neutral
20482,positive
10617,positive
4744,positive
12603,neutral
3078,negative
14134,negative
28147,negative
27068,negative
26166,neutral
40926,positive
16992,positive
38729,neutral
43897,positive
11035,positive
31015,neutral
23774,neutral
19372,positive
10967,neutral
5779,negative
33293,positive
20869,neutral
28335,positive
13565,neutral
10502,positive
39942,neutral
27468,neutral
4725,positive
20928,neutral
11007,neutral
961,positive
17827,positive
18144,positive
10740,neutral
9397,positive
18102,neutral
6389,neutral
37056,positive
10646,neutral
21802,negative
33126,negative
5682,neutral
41726,negative
23617,negative
16201,negative
8258,negative
17711,negative
4343,positive
18337,neutral
34862,neutral
176,negative
32659,negative
27004,positive
18963,negative
22444,positive
40231,positive
3892,neutral
14812,negative
20898,negative
480,positive
35470,neutral
14963,negative
41150,negative
42667,positive
13470,negative
33834,positive
26310,negative
32687,positive
35488,positive
11910,positive
18564,positive
32618,positive
41276,positive
43171,positive
6450,positive
13775,negative
22635,negative
31014,negative
20349,neutral
43692,negative
17318,negative
26255,neutral
21686,negative
15928,neutral
34835,neutral
37287,positive
890,negative
18462,neutral
42863,negative
32815,neutral
25967,positive
7432,neutral
3104,neutral
40467,neutral
22041,positive
40836,neutral
17805,positive
20230,negative
32014,positive
10085,negative
7786,neutral
29608,neutral
20362,neutral
11369,neutral
10709,neutral
15240,neutral
10347,negative
35585,negative
44476,neutral
19170,neutral
19644,neutral
16027,positive
29621,positive
35243,negative
38456,neutral
35731,neutral
21924,negative
8156,neutral
4633,neutral
20675,negative
10776,neutral
12110,positive
33700,negative
8281,neutral
43132,negative
10450,negative
10706,neutral
40674,negative
9057,positive
7923,negative
31902,positive
36127,negative
18774,negative
21545,negative
12143,positive
14657,neutral
11180,neutral
29090,positive
42111,negative
11239,neutral
29610,positive
21406,neutral
24384,positive
41518,neutral
31776,positive
43273,neutral
31566,positive
14858,neutral
25728,negative
41497,neutral
21577,neutral
20037,neutral
42364,positive
14290,positive
38269,neutral
14600,neutral
28853,neutral
18946,negative
11857,negative
44733,neutral
10047,neutral
21260,positive
33414,positive
43120,neutral
9997,positive
10756,neutral
21621,positive
32500,negative
12505,neutral
18,positive
15208,negative
10158,positive
30792,negative
5572,negative
37785,neutral
6084,positive
9348,negative
6142,negative
21614,neutral
38837,neutral
43255,positive
8472,positive
1872,positive
11324,neutral
923,positive
21729,neutral
10364,positive
13842,positive
23652,positive
10886,neutral
16322,negative
42128,negative
4172,negative
19356,neutral
10871,positive
23183,positive
35458,positive
26757,negative
9085,positive
39914,neutral
4627,positive
38573,neutral
42007,positive
37206,neutral
18765,neutral
18786,positive
18022,positive
2648,positive
9062,positive
11001,positive
22141,negative
11980,negative
20433,neutral
7830,positive
19342,neutral
5425,negative
27950,neutral
16130,positive
43905,negative
19655,negative
32026,positive
5957,neutral
20727,positive
40121,neutral
1738,positive
43,positive
8402,negative
23063,positive
1860,positive
7123,neutral
26684,neutral
41020,negative
8262,negative
11102,neutral
30938,neutral
11321,positive
30631,positive
43485,neutral
25139,positive
18887,positive
41372,negative
3304,neutral
26993,positive
3830,neutral
32962,neutral
10939,neutral
2886,neutral
25148,negative
7893,positive
12033,positive
11383,neutral
9123,negative
43183,negative
7937,positive
26266,neutral
1811,negative
2105,positive
10565,neutral
9331,neutral
33377,negative
250,positive
8480,neutral
19305,neutral
10880,neutral
11322,neutral
2167,negative
20896,neutral
25702,positive
30439,neutral
2618,negative
17875,neutral
7939,positive
24911,positive
25087,neutral
11595,positive
10934,neutral
34811,negative
16083,neutral
1938,negative
24263,negative
14571,positive
33067,positive
27366,negative
23370,neutral
25785,neutral
15121,positive
30507,neutral
25890,neutral
13104,negative
31250,negative
29072,negative
18494,positive
22008,neutral
16410,neutral
42729,negative
43513,negative
26921,positive
11238,neutral
3685,negative
36407,negative
19615,neutral
8490,positive
33646,negative
25869,neutral
30989,neutral
25331,positive
25925,positive
21344,neutral
4863,neutral
32720,positive
22951,neutral
2885,neutral
22591,positive
24787,neutral
16669,positive
41999,positive
5006,positive
16087,positive
1349,positive
16717,neutral
15749,positive
41817,negative
26249,positive
10139,neutral
44029,negative
40754,neutral
14592,positive
1566,positive
28591,negative
4600,negative
27071,positive
26168,neutral
20424,positive
3466,neutral
31850,neutral
10511,neutral
31847,positive
14649,neutral
8616,negative
30209,positive
9687,negative
18441,negative
411,negative
5066,neutral
10309,negative
43477,negative
3168,neutral
25810,negative
10015,negative
9058,negative
39082,neutral
24909,negative
27288,negative
855,positive
16882,neutral
26419,neutral
10009,positive
14794,neutral
38831,positive
25897,neutral
34081,neutral
4436,neutral
9091,neutral
9575,neutral
10382,neutral
12917,neutral
32892,negative
30321,positive
14050,positive
10655,positive
11989,positive
18235,negative
17732,neutral
24386,negative
21519,neutral
7046,positive
34701,positive
10675,negative
15408,positive
4106,positive
32410,neutral
20623,neutral
12494,positive
37757,neutral
2626,positive
4897,negative
31832,neutral
38352,positive
36697,neutral
15891,negative
11538,negative
10674,neutral
3289,negative
14841,positive
25242,neutral
10676,neutral
24159,positive
6212,positive
10881,neutral
22718,neutral
6616,negative
33579,positive
7862,neutral
28002,negative
36232,positive
9501,neutral
20552,neutral
31528,neutral
33520,negative
4532,negative
1280,negative
11396,neutral
34672,neutral
19256,positive
15790,negative
26114,positive
23552,negative
27725,neutral
17851,neutral
39391,negative
1986,negative
28323,neutral
42952,negative
5930,neutral
9854,neutral
11708,positive
11795,negative
7935,neutral
18301,neutral
32916,positive
5155,positive
18197,negative
31573,negative
30546,neutral
11078,neutral
13605,neutral
28312,positive
19083,negative
10582,neutral
8370,negative
13807,positive
17179,positive
14626,neutral
11212,negative
6446,neutral
12776,neutral
19314,positive
7949,neutral
8849,negative
38970,negative
38769,negative
8868,neutral
13848,positive
21365,positive
9653,negative
26941,positive
3378,neutral
39253,neutral
11564,positive
20704,neutral
1727,negative
33761,positive
33741,positive
2738,positive
11972,positive
44689,negative
36941,positive
4829,neutral
29078,positive
40890,neutral
19311,negative
21116,positive
42570,positive
1016,positive
10961,neutral
21171,negative
21149,neutral
6519,positive
21135,positive
8245,positive
13433,negative
3349,positive
21087,neutral
4692,neutral
10800,neutral
24002,positive
17386,negative
35286,neutral
38342,positive
4340,positive
27893,neutral
6594,neutral
35040,neutral
38706,negative
13606,neutral
4685,neutral
20642,negative
32211,negative
25154,neutral
21466,neutral
10334,neutral
10429,negative
7443,neutral
27663,positive
41566,positive
10500,neutral
24072,positive
10230,positive
4715,positive
30121,negative
18052,neutral
33329,neutral
16369,negative
11233,neutral
26891,neutral
16499,positive
40073,positive
11668,neutral
12840,positive
9707,neutral
12311,neutral
31685,neutral
21019,neutral
10278,positive
20308,positive
24323,positive
7257,negative
3544,positive
5285,positive
18533,negative
18856,positive
28733,neutral
9395,neutral
20000,negative
8903,neutral
36786,neutral
40300,negative
10461,negative
36076,positive
8514,positive
28763,positive
7565,neutral
22058,neutral
23050,positive
10431,neutral
8019,negative
11904,negative
19339,positive
20211,negative
27363,positive
19255,negative
2097,positive
1643,negative
42125,negative
41104,positive
706,negative
17400,positive
21215,neutral
4370,negative
31907,positive
5283,negative
7587,negative
6886,neutral
16902,positive
13230,neutral
27597,positive
21652,neutral
10620,neutral
28887,negative
21511,neutral
24631,neutral
5902,neutral
15163,neutral
22850,negative
3842,neutral
30343,positive
26578,negative
999,positive
7306,positive
10811,neutral
8944,positive
36059,neutral
20657,neutral
10685,neutral
32097,positive
23981,neutral
9230,negative
33320,neutral
39829,positive
22861,neutral
40101,positive
26844,positive
11579,neutral
4323,neutral
35296,negative
26855,neutral
35411,positive
18962,positive
11454,neutral
41218,positive
7680,negative
4318,negative
1806,positive
43072,negative
26620,neutral
21447,neutral
11800,positive
20019,positive
30034,neutral
21474,neutral
26883,neutral
35457,positive
7152,positive
20847,negative
8081,neutral
18647,negative
10399,positive
30821,positive
44100,neutral
15097,neutral
34319,positive
15433,neutral
10621,positive
22905,positive
28499,neutral
17623,negative
45046,neutral
18524,positive
2120,positive
10702,neutral
15118,neutral
14229,negative
14566,positive
1268,positive
40815,negative
2646,neutral
565,positive
8005,negative
10129,neutral
21145,neutral
42166,neutral
17609,negative
37876,negative
5322,positive
12842,positive
31495,negative
6532,negative
30252,negative
12300,negative
43026,negative
17982,positive
23441,positive
33779,neutral
13270,positive
35240,neutral
29338,positive
11092,negative
10841,negative
35566,neutral
5426,neutral
422,positive
10355,neutral
6833,negative
37330,negative
1303,neutral
264,negative
4264,negative
11267,neutral
25796,negative
345,negative
22772,neutral
3723,neutral
12584,negative
12195,neutral
13416,negative
11291,positive
17954,neutral
21250,positive
39413,neutral
44183,neutral
32675,positive
27490,positive
27401,positive
28952,neutral
25123,positive
25766,neutral
11295,neutral
26074,neutral
40566,neutral
35746,negative
12469,positive
37416,neutral
6317,negative
20053,positive
18729,neutral
19064,positive
12912,negative
4010,negative
29484,positive
2582,positive
8113,positive
30456,negative
7256,negative
5175,positive
23155,neutral
19963,positive
25844,neutral
19106,positive
